step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,eval_reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size,pool
59,60,10,2,0.7190313339233398,0.4091043472290039,0.6198539733886719,-0.54296875,-0.6953125,-0.5290666148066521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,10,2,0.6943166851997375,0.3825736343860626,0.6234861016273499,-0.55859375,-0.62890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,10,2,0.6652907729148865,0.37245410680770874,0.5856733322143555,-0.59375,-0.59765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,10,2,0.8750699162483215,0.41942739486694336,0.9112850427627563,-0.6015625,-0.5859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,10,2,0.6515397429466248,0.39562326669692993,0.5118329524993896,-0.59765625,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,10,2,0.8082849979400635,0.36598631739616394,0.8845974206924438,-0.5625,-0.453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,10,2,0.901337742805481,0.39355918765068054,1.0155571699142456,-0.59375,-0.53125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,10,2,0.7849200367927551,0.4593207836151123,0.6511985063552856,-0.74609375,-0.640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,10,2,0.6434674263000488,0.39326077699661255,0.5004133582115173,-0.62109375,-0.58203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,9,2,0.6217620372772217,0.28349220752716064,0.6765397191047668,-0.341796875,-0.349609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,10,2,0.7190587520599365,0.35822293162345886,0.7216717004776001,-0.58984375,-0.5859375,-0.508387066423893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,10,2,0.6991251707077026,0.3913108706474304,0.6156286001205444,-0.546875,-0.56640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,10,2,0.6628377437591553,0.3709568381309509,0.5837618112564087,-0.59765625,-0.56640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,10,2,0.7895975112915039,0.39278507232666016,0.7936248183250427,-0.609375,-0.57421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,10,2,0.7671935558319092,0.3250507414340973,0.8842856287956238,-0.486328125,-0.44921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,10,2,0.6757844090461731,0.3486408591270447,0.6542870998382568,-0.462890625,-0.423828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,10,2,0.6674751043319702,0.3644998073577881,0.6059505939483643,-0.52734375,-0.4921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,10,2,0.6634509563446045,0.3449566662311554,0.636988639831543,-0.484375,-0.458984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,10,2,0.7756360769271851,0.3610929846763611,0.8290861248970032,-0.4921875,-0.486328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,9,2,0.6563912034034729,0.3373141884803772,0.6381540298461914,-0.466796875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,10,2,0.7506095170974731,0.376142680644989,0.7489336729049683,-0.60546875,-0.625,-0.5168210938572884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8,8,0,8,0,0,0,1.0,8192,8192,4.863404907286167,8192,8192,8192,16384,"(2, 3, 4)",0.7,1.0,8,student,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.0,,,,8192,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1684.4166085630786,1684.4166085630786,0.0009765625,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.0,,,,8192,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1684.4166085630786,1684.4166085630786,0.0009765625,1.0,0,0,0,HEALTHY,,0,0,0,0,0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,8,
80,81,0,2,0.6018575429916382,0.28163379430770874,0.6404475569725037,-0.577300488948822,-0.577300488948822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
81,82,0,2,0.6906271576881409,0.3416065573692322,0.6980412006378174,-0.5818409323692322,-0.6233828067779541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
82,83,0,2,0.4987525939941406,0.19660548865795135,0.6042942404747009,-0.27675196528434753,-0.2817613184452057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
83,84,0,2,0.600193440914154,0.27600032091140747,0.6483862400054932,-0.4003278315067291,-0.3940841257572174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
